Rank,name,pop2022,pop2021,GrowthRate,area,Density
1,China,1425887.337,1425893.465,1,9706961,146.8933
2,India,1417173.173,1407563.842,1.0068,3287590,431.0675
3,United States,338289.857,336997.624,1.0038,9372610,36.0935
4,Indonesia,275501.339,273753.191,1.0064,1904569,144.6529
5,Pakistan,235824.862,231402.117,1.0191,881912,267.4018
6,Nigeria,218541.212,213401.323,1.0241,923768,236.5759
7,Brazil,215313.498,214326.223,1.0046,8515767,25.2841
8,Bangladesh,171186.372,169356.251,1.0108,147570,1160.035
9,Russia,144713.314,145102.755,0.9973,17098242,8.4636
10,Mexico,127504.125,126705.138,1.0063,1964375,64.9082
11,Japan,123951.692,124612.53,0.9947,377930,327.9753
12,Ethiopia,123379.924,120283.026,1.0257,1104300,111.7268
13,Philippines,115559.009,113880.328,1.0147,342353,337.5434
14,Egypt,110990.103,109262.178,1.0158,1002450,110.7188
16,Vietnam,98186.856,97468.029,1.0074,331212,296.4472
17,Iran,88550.57,87923.432,1.0071,1648195,53.7258
18,Turkey,85341.241,84775.404,1.0067,783562,108.9145
19,Germany,83369.843,83408.554,0.9995,357114,233.4544
20,Thailand,71697.03,71601.103,1.0013,513120,139.7276
21,United Kingdom,67508.936,67281.039,1.0034,242900,277.9289
23,France,64626.628,64531.444,1.0015,551695,117.1419
24,South Africa,59893.885,59392.255,1.0084,1221037,49.0517
25,Italy,59037.474,59240.329,0.9966,301336,195.9191
26,England,57367.811,,1.0072,130279,440.3458
27,Myanmar,54179.306,53798.084,1.0071,676578,80.0784
28,Kenya,54027.487,53005.614,1.0193,580367,93.0919
29,Colombia,51874.024,51516.562,1.0069,1141748,45.4339
30,South Korea,51815.81,51830.139,0.9997,100210,517.0722
31,Spain,47558.63,47486.935,1.0015,505992,93.9909
32,Uganda,47249.585,45853.778,1.0304,241550,195.61
33,Sudan,46874.204,45657.202,1.0267,1886068,24.8529
34,Argentina,45510.318,45276.78,1.0052,2780400,16.3683
35,Algeria,44903.225,44177.969,1.0164,2381741,18.8531
36,Iraq,44496.122,43533.592,1.0221,438317,101.5158
38,Poland,39857.145,38307.726,1.0404,312679,127.4698
39,Ukraine,39701.739,43531.422,0.912,603500,65.7858
40,Canada,38454.327,38155.012,1.0078,9984670,3.8513
41,Morocco,37457.971,37076.584,1.0103,446550,83.883
43,Angola,35588.987,34503.774,1.0315,1246700,28.5466
44,Uzbekistan,34627.652,34081.449,1.016,447400,77.3975
45,Peru,34049.588,33715.471,1.0099,1285216,26.4933
46,Malaysia,33938.221,33573.874,1.0109,330803,102.5934
47,Yemen,33696.614,32981.641,1.0217,527968,63.8232
48,Ghana,33475.87,32833.031,1.0196,238533,140.3406
50,Nepal,30547.58,30034.989,1.0171,147181,207.5511
51,Madagascar,29611.714,28915.653,1.0241,587041,50.4423
52,Venezuela,28301.696,28199.867,1.0036,916445,30.882
53,Ivory Coast,28160.542,27478.249,1.0248,322463,87.3295
54,Cameroon,27914.536,27198.628,1.0263,475442,58.7128
56,Australia,26177.413,25921.089,1.0099,7692024,3.4032
58,Taiwan,23893.394,23859.912,1.0014,36193,660.1662
59,Burkina Faso,22673.762,22100.683,1.0259,272967,83.0641
61,Syria,22125.249,21324.367,1.0376,185180,119.4797
64,Zambia,20017.675,19473.125,1.028,752612,26.5976
65,Romania,19659.267,19328.56,1.0171,238391,82.4665
66,Chile,19603.733,19493.184,1.0057,756102,25.9274
67,Kazakhstan,19397.998,19196.465,1.0105,2724900,7.1188
68,Ecuador,18001,17797.737,1.0114,276841,65.0229
69,Guatemala,17843.908,17608.483,1.0134,108889,163.8725
72,Netherlands,17564.014,17501.696,1.0036,41850,419.6897
73,Senegal,17316.449,16876.72,1.0261,196722,88.025
75,Zimbabwe,16320.537,15993.524,1.0204,390757,41.7665
76,Guinea,13859.341,13531.906,1.0242,245857,56.3716
77,Rwanda,13776.698,13461.888,1.0234,26338,523.0731
79,Burundi,12889.576,12551.213,1.027,27834,463.0874
80,Tunisia,12356.117,12262.946,1.0076,163610,75.5218
81,Bolivia,12224.11,12079.472,1.012,1098581,11.1272
82,Belgium,11655.93,11611.419,1.0038,30528,381.8111
83,Haiti,11584.996,11447.569,1.012,27750,417.4773
84,Jordan,11285.869,11148.278,1.0123,89342,126.3221
85,Dominican Republic,11228.821,11117.873,1.01,48671,230.7087
86,Cuba,11212.191,11256.372,0.9961,109884,102.0366
88,Sweden,10549.347,10467.097,1.0079,450295,23.4276
90,Honduras,10432.86,10278.345,1.015,112492,92.7431
91,Greece,10384.971,10445.365,0.9942,131990,78.68
92,Azerbaijan,10358.074,10312.992,1.0044,86600,119.6082
93,Portugal,10270.865,10290.103,0.9981,92090,111.5307
94,Papua New Guinea,10142.619,9949.437,1.0194,462840,21.9139
95,Hungary,9967.308,9709.786,1.0265,93028,107.1431
96,Tajikistan,9952.787,9750.064,1.0208,143100,69.5513
97,Belarus,9534.954,9578.167,0.9955,207600,45.9295
98,United Arab Emirates,9441.129,9365.145,1.0081,83600,112.9322
99,Israel,9038.309,8900.059,1.0155,20770,435.1617
100,Austria,8939.617,8922.082,1.002,83871,106.5877
101,Togo,8848.699,8644.829,1.0236,56785,155.8281
102,Switzerland,8740.472,8691.406,1.0056,41284,211.7157
103,Sierra Leone,8605.718,8420.641,1.022,71740,119.957
104,Laos,7529.475,7425.057,1.0141,236800,31.7968
106,Serbia,7221.365,7296.769,0.9897,88361,81.7257
107,Nicaragua,6948.392,6850.54,1.0143,130373,53.2962
108,Libya,6812.341,6735.277,1.0114,1759540,3.8717
109,Bulgaria,6781.953,6885.868,0.9849,110879,61.1654
111,Kyrgyzstan,6630.623,6527.743,1.0158,199951,33.1612
113,El Salvador,6336.392,6314.167,1.0035,21041,301.145
116,Denmark,5882.261,5854.24,1.0048,43094,136.4984
117,Slovakia,5643.453,5447.622,1.0359,49037,115.0856
119,Finland,5540.745,5535.992,1.0009,338424,16.3722
121,Lebanon,5489.739,5592.631,0.9816,10452,525.2334
122,Norway,5434.319,5403.021,1.0058,323802,16.7828
123,Liberia,5302.681,5193.416,1.021,111369,47.6136
126,Costa Rica,5180.829,5153.957,1.0052,51100,101.3861
127,Ireland,5023.109,4986.526,1.0073,70273,71.4799
130,Panama,4408.581,4351.267,1.0132,75417,58.4561
131,Kuwait,4268.873,4250.114,1.0044,17818,239.5821
132,Croatia,4030.358,4060.135,0.9927,56594,71.2153
133,Georgia,3744.385,3757.98,0.9964,69700,53.7214
135,Uruguay,3422.794,3426.26,0.999,181034,18.9069
136,Mongolia,3398.366,3347.782,1.0151,1564110,2.1727
137,Moldova,3272.996,3061.506,1.0691,33846,96.7026
139,Bosnia and Herzegovina,3233.526,3270.943,0.9886,51209,63.1437
141,Albania,2842.321,2854.71,0.9957,28748,98.8702
142,Jamaica,2827.377,2827.695,0.9999,10991,257.2447
143,Armenia,2780.469,2790.974,0.9962,29743,93.4831
144,Lithuania,2750.055,2786.651,0.9869,65300,42.1142
145,Gambia,2705.992,2639.916,1.025,10689,253.1567
147,Botswana,2630.296,2588.423,1.0162,582000,4.5194
148,Namibia,2567.012,2530.151,1.0146,825615,3.1092
149,Gabon,2388.992,2341.179,1.0204,267668,8.9252
150,Lesotho,2305.825,2281.454,1.0107,30355,75.962
151,Slovenia,2119.844,2119.41,1.0002,20273,104.5649
153,North Macedonia,2093.599,2103.33,0.9954,25713,81.4218
155,Latvia,1850.651,1873.919,0.9876,64559,28.666
158,Trinidad and Tobago,1531.044,1525.663,1.0035,5130,298.4491
161,Estonia,1326.062,1328.701,0.998,45227,29.3201
163,Cyprus,1251.488,1244.188,1.0059,9251,135.2814
165,Djibouti,1120.849,1105.557,1.0138,23200,48.3125
167,Fiji,929.766,924.61,1.0056,18272,50.8847
169,Guyana,808.726,804.567,1.0052,214969,3.7621
170,Bhutan,782.455,777.486,1.0064,38394,20.3796
172,Luxembourg,647.599,639.321,1.0129,2586,250.425
173,Montenegro,627.082,627.859,0.9988,13812,45.4012
174,Suriname,618.04,612.985,1.0082,163820,3.7727
177,Malta,533.286,526.748,1.0124,316,1687.6139
178,Maldives,523.787,521.457,1.0045,300,1745.9567
181,Belize,405.272,400.031,1.0131,22966,17.6466
194,Micronesia,114.164,113.131,1.0091,702,162.6268
195,Seychelles,107.118,106.471,1.0061,452,236.9867
199,Andorra,79.824,79.034,1.01,468,170.5641